dis_1 dis_2 ang_1 delta_int
0.87148 0.85872 86.89652 0.1211085081
0.97406 0.96944 106.4169 0.0014097311
0.94834 0.95095 101.93765 0.0012531561
0.93292 0.85272 109.97039 -0.0224595717
1.11395 0.98877 83.70386 -0.1314277235
1.25594 1.05032 81.78983 -0.2853289266
0.98567 0.90454 99.06483 0.0047615424
0.96096 0.98313 103.63997 -0.0005321662
1.1274 1.07582 117.07139 0.0636482629
1.0253 1.01614 102.05217 -0.0098244705
1.10063 1.19756 90.6212 -0.1592431905
0.96784 0.93934 109.66607 -0.0013397136
1.13537 1.09437 117.88126 0.0706900065
0.99561 1.02193 124.3194 0.0442727915
0.93699 0.94811 113.899 -0.0083452451
0.94203 0.96643 106.29771 -0.0003904091
1.04968 1.26944 85.16826 -0.2397335387
1.05701 0.94014 93.70005 -0.0263468060
0.96983 0.96937 83.68196 -0.0160187693
0.95269 1.06978 102.90373 -0.0038569538
0.95412 0.97289 101.03907 -0.0008608973
0.95043 0.99825 106.82463 0.0023278650
0.95937 0.9583 101.24703 -0.0000001703
1.01626 0.82509 113.10737 -0.0106824569
0.9902 0.95337 102.57035 -0.0012243681
0.96838 0.95935 106.27206 0.0005500904
0.94455 0.9605 104.4479 -0.0000097087
0.9536 1.24422 125.37103 0.1214160844
0.92534 0.96161 102.94605 0.0013389787
0.89349 0.98386 100.25629 0.0054870067
0.98926 0.83124 114.97683 -0.0231510500
0.87178 0.86294 114.27007 -0.0562183347
0.97964 0.98289 109.6657 0.0060376494
1.00437 0.76171 96.17514 0.0388976350
0.94323 0.95419 102.84071 0.0008567050
1.01866 1.00955 92.18003 -0.0427750703
0.95615 0.95995 117.17277 -0.0005041888
0.95193 0.94713 101.28159 0.0016457847
0.86718 0.87628 115.34967 -0.0580479929
0.96602 0.97162 129.30659 0.0116353069
0.9207 0.92278 115.93874 -0.0236796995
0.9999 0.99824 99.84333 -0.0111965258
0.86436 0.8903 101.39082 0.0121634286
0.95256 1.02956 90.39146 -0.0296016844
0.96701 0.9383 99.82067 0.0017639721
0.95385 0.94834 112.07248 -0.0032171795
0.99076 0.95238 102.52834 -0.0012244657
1.17193 0.92168 83.57282 -0.1300323070
0.92256 0.94615 90.63865 0.0225225935
1.00392 1.002 110.49614 0.0126630434
0.99041 0.96443 98.28656 -0.0067934369
0.98244 0.88188 104.46747 0.0008754886
0.95662 0.94591 117.94715 -0.0052433152
0.93716 0.9717 131.42513 -0.0051568618
1.19714 0.92797 126.52518 0.1058846871
0.9503 0.97435 103.4001 -0.0001005114
0.97422 0.98491 109.02755 0.0049599677
0.98567 1.25236 100.21485 -0.0381771430
0.99281 0.92534 93.38903 -0.0001602366
1.07841 0.94597 112.67965 0.0238510786
0.89495 0.90686 99.36092 0.0167047209
0.86542 0.95265 98.26622 0.0183994085
0.96388 1.02647 111.49332 0.0132933208
0.90322 0.91372 112.45351 -0.0240739245
0.98401 0.95919 104.25651 -0.0000486218
0.86138 0.89963 86.63102 0.1017697855
0.85678 0.8688 108.7309 -0.0299091394
0.96331 1.02162 93.94407 -0.0219629701
0.99652 0.90279 95.73702 0.0051370444
0.99392 0.98674 90.2496 -0.0291070552
0.9302 1.22001 78.98586 -0.2196420740
0.9573 0.95831 101.58951 0.0001628257
0.96177 0.96212 105.27805 0.0001670410
0.96974 0.97003 99.87008 -0.0029381713
0.97218 0.96353 112.52034 0.0038466979
0.86341 0.86344 115.69666 -0.0662601139
0.96728 0.92377 108.83993 -0.0030064363
1.00058 0.90568 95.96147 0.0032250923
0.96357 0.96237 102.14991 -0.0005223593
1.03618 0.84406 137.98645 -0.0151289656
0.97046 0.96491 98.42926 -0.0031467922
0.98675 0.98262 101.62408 -0.0043219986
0.90129 0.99238 107.61981 -0.0008473643
1.01164 0.9829 121.42821 0.0303185145
0.99411 0.89304 107.9304 -0.0013428752
0.86145 0.96086 114.90316 -0.0261082902
0.84468 1.07394 129.05092 0.0173559540
0.92878 0.93033 106.64555 -0.0042323660
0.91561 0.93026 121.07714 -0.0315376159
1.11398 1.1951 112.60925 0.0406535161
0.90931 1.05685 88.35806 -0.0276130090
0.97946 0.94912 142.50801 0.0096956882
0.94798 1.06383 84.28329 -0.0675062866
0.92475 1.06408 78.46276 -0.0750569066
0.95109 0.95637 92.01877 0.0041009673
1.01304 0.90675 103.83504 0.0014947073
1.01885 0.99098 111.32844 0.0151549605
0.93357 0.98756 122.36593 0.0024128924
1.05075 0.81079 90.7819 0.0213292871
0.93888 0.94151 110.96059 -0.0068644956
0.90666 0.90973 101.30019 0.0082297812
1.04161 0.89882 119.93691 0.0140176313
0.93862 0.93371 114.6637 -0.0126460982
0.98048 0.98596 105.88189 0.0017338754
0.99937 1.01269 95.30283 -0.0265737398
0.97776 1.04708 89.51995 -0.0520528068
1.18398 1.12809 96.3364 -0.1001933924
0.96602 0.97977 84.07657 -0.0204042091
0.97313 0.91846 108.65144 -0.0025877473
0.98253 0.98076 95.34078 -0.0127860182
0.93667 1.20607 90.38149 -0.0966486995
1.05388 0.87822 92.63358 -0.0057661522
1.0735 0.95833 112.22762 0.0229111881
1.05346 1.07155 70.26025 -0.2887761410
1.14959 1.23471 114.87802 0.0545054927
0.98408 0.89763 107.47728 -0.0020565713
1.04926 1.04306 84.4162 -0.1180637821
0.84071 0.9775 114.88122 -0.0252620701
