dis_1 dis_2 ang_1 e_har
0.87148 0.85872 86.89652 0.9662442043
0.97406 0.96944 106.4169 0.0130897164
0.94834 0.95095 101.93765 0.0099385339
0.93292 0.85272 109.97039 0.3345498194
1.11395 0.98877 83.70386 0.8844914399
1.25594 1.05032 81.78983 2.5086546777
0.98567 0.90454 99.06483 0.130002671
0.96096 0.98313 103.63997 0.0154113587
1.1274 1.07582 117.07139 1.1966850445
1.0253 1.01614 102.05217 0.194531573
1.10063 1.19756 90.6212 1.6458194676
0.96784 0.93934 109.66607 0.032757417
1.13537 1.09437 117.88126 1.3835868097
0.99561 1.02193 124.3194 0.3473096794
0.93699 0.94811 113.899 0.0738895843
0.94203 0.96643 106.29771 0.01086644
1.04968 1.26944 85.16826 1.9088999102
1.05701 0.94014 93.70005 0.3415880615
0.96983 0.96937 83.68196 0.3752306544
0.95269 1.06978 102.90373 0.321706193
0.95412 0.97289 101.03907 0.0114228647
0.95043 0.99825 106.82463 0.0478127161
0.95937 0.9583 101.24703 0.0065723505
1.01626 0.82509 113.10737 0.6542343783
0.9902 0.95337 102.57035 0.0278310636
0.96838 0.95935 106.27206 0.0054034123
0.94455 0.9605 104.4479 0.0054485526
0.9536 1.24422 125.37103 1.7070981786
0.92534 0.96161 102.94605 0.0323985266
0.89349 0.98386 100.25629 0.1438167147
0.98926 0.83124 114.97683 0.5856346911
0.87178 0.86294 114.27007 0.511109351
0.97964 0.98289 109.6657 0.0475866091
1.00437 0.76171 96.17514 1.2261619976
0.94323 0.95419 102.84071 0.0093973084
1.01866 1.00955 92.18003 0.1899826644
0.95615 0.95995 117.17277 0.1123827252
0.95193 0.94713 101.28159 0.0134850022
0.86718 0.87628 115.34967 0.486745631
0.96602 0.97162 129.30659 0.5116056559
0.9207 0.92278 115.93874 0.1691722581
0.9999 0.99824 99.84333 0.0829058174
0.86436 0.8903 101.39082 0.3784822321
0.95256 1.02956 90.39146 0.1758477216
0.96701 0.9383 99.82067 0.0312926621
0.95385 0.94834 112.07248 0.0435952837
0.99076 0.95238 102.52834 0.0292124153
1.17193 0.92168 83.57282 1.6495078465
0.92256 0.94615 90.63865 0.2233220612
1.00392 1.002 110.49614 0.1321127343
0.99041 0.96443 98.28656 0.0453994939
0.98244 0.88188 104.46747 0.1720877125
0.95662 0.94591 117.94715 0.1428125874
0.93716 0.9717 131.42513 0.6203969119
1.19714 0.92797 126.52518 2.1494333955
0.9503 0.97435 103.4001 0.0086779495
0.97422 0.98491 109.02755 0.0403312586
0.98567 1.25236 100.21485 2.2129114265
0.99281 0.92534 93.38903 0.1765889002
1.07841 0.94597 112.67965 0.4603530352
0.89495 0.90686 99.36092 0.2176762747
0.86542 0.95265 98.26622 0.2755881119
0.96388 1.02647 111.49332 0.1472869347
0.90322 0.91372 112.45351 0.1732601091
0.98401 0.95919 104.25651 0.0166996686
0.86138 0.89963 86.63102 0.789651001
0.85678 0.8688 108.7309 0.4852087048
0.96331 1.02162 93.94407 0.1211382444
0.99652 0.90279 95.73702 0.2045521568
0.99392 0.98674 90.2496 0.155853012
0.9302 1.22001 78.98586 1.1142008471
0.9573 0.95831 101.58951 0.0053960894
0.96177 0.96212 105.27805 0.0012351976
0.96974 0.97003 99.87008 0.0159907054
0.97218 0.96353 112.52034 0.0518593317
0.86341 0.86344 115.69666 0.5766795746
0.96728 0.92377 108.83993 0.0488503671
1.00058 0.90568 95.96147 0.1978406457
0.96357 0.96237 102.14991 0.0035371094
1.03618 0.84406 137.98645 2.279842126
0.97046 0.96491 98.42926 0.0248822074
0.98675 0.98262 101.62408 0.0350020025
0.90129 0.99238 107.61981 0.1206324953
1.01164 0.9829 121.42821 0.2980894735
0.99411 0.89304 107.9304 0.1591585348
0.86145 0.96086 114.90316 0.2954336845
0.84468 1.07394 129.05092 0.7562395675
0.92878 0.93033 106.64555 0.045564589
0.91561 0.93026 121.07714 0.2893656489
1.11398 1.1951 112.60925 2.1220050271
0.90931 1.05685 88.35806 0.349628631
0.97946 0.94912 142.50801 1.8325010154
0.94798 1.06383 84.28329 0.3437320575
0.92475 1.06408 78.46276 0.5697761981
0.95109 0.95637 92.01877 0.1272156115
1.01304 0.90675 103.83504 0.1511657456
1.01885 0.99098 111.32844 0.1623950099
0.93357 0.98756 122.36593 0.2247647475
