dis_1 dis_2 ang_1 e_int
0.87148 0.85872 86.89652 0.8074066826624344
0.97406 0.96944 106.4169 0.01158042946953343
0.94834 0.95095 101.93765 0.008563220828728901
0.93292 0.85272 109.97039 0.4237823416050259
1.11395 0.98877 83.70386 0.7904226449681416
1.25594 1.05032 81.78983 1.8162215461530449
0.98567 0.90454 99.06483 0.12552414649395183
0.96096 0.98313 103.63997 0.015162125658411268
1.1274 1.07582 117.07139 0.8991561314924588
1.0253 1.01614 102.05217 0.1801457926645618
1.10063 1.19756 90.6212 1.4312104544311905
0.96784 0.93934 109.66607 0.03080553845621483
1.13537 1.09437 117.88126 1.0340038824968527
0.99561 1.02193 124.3194 0.35645871847703403
0.93699 0.94811 113.899 0.07359668753904183
0.94203 0.96643 106.29771 0.01174440352643889
1.04968 1.26944 85.16826 1.7862473686578577
1.05701 0.94014 93.70005 0.2939235538163296
0.96983 0.96937 83.68196 0.32178494222576365
0.95269 1.06978 102.90373 0.2567044206360179
0.95412 0.97289 101.03907 0.013005491253568091
0.95043 0.99825 106.82463 0.043443452279391226
0.95937 0.9583 101.24703 0.006488015103722419
1.01626 0.82509 113.10737 0.7805408180967517
0.9902 0.95337 102.57035 0.027082314156170767
0.96838 0.95935 106.27206 0.0047815235524144555
0.94455 0.9605 104.4479 0.005652430405454533
0.9536 1.24422 125.37103 1.4411601858979382
0.92534 0.96161 102.94605 0.03355853808462799
0.89349 0.98386 100.25629 0.15875296808154782
0.98926 0.83124 114.97683 0.6805233212430032
0.87178 0.86294 114.27007 0.614405833188725
0.97964 0.98289 109.6657 0.04352839094602643
1.00437 0.76171 96.17514 1.7812670166827342
0.94323 0.95419 102.84071 0.008766076528305347
1.01866 1.00955 92.18003 0.24795507050722726
0.95615 0.95995 117.17277 0.10116619686588815
0.95193 0.94713 101.28159 0.011341831565962295
0.86718 0.87628 115.34967 0.571254956049263
0.96602 0.97162 129.30659 0.35405753807603896
0.9207 0.92278 115.93874 0.16254459693457096
0.9999 0.99824 99.84333 0.09182371286884826
0.86436 0.8903 101.39082 0.44802930551481246
0.95256 1.02956 90.39146 0.2529594837335343
0.96701 0.9383 99.82067 0.027312441498010778
0.95385 0.94834 112.07248 0.041527292647182
0.99076 0.95238 102.52834 0.02834345551737167
1.17193 0.92168 83.57282 1.11969524013496
0.92256 0.94615 90.63865 0.176398793422948
1.00392 1.002 110.49614 0.11729101488693734
0.99041 0.96443 98.28656 0.05045716696240905
0.98244 0.88188 104.46747 0.20196315688539426
0.95662 0.94591 117.94715 0.11758419710773604
0.93716 0.9717 131.42513 0.41995974415421766
1.19714 0.92797 126.52518 1.2136494864393004
0.9503 0.97435 103.4001 0.008672149747293047
0.97422 0.98491 109.02755 0.037067179888367725
0.98567 1.25236 100.21485 1.263705997128136
0.99281 0.92534 93.38903 0.1447609786275399
1.07841 0.94597 112.67965 0.33843858256162007
0.89495 0.90686 99.36092 0.2232486224054755
0.86542 0.95265 98.26622 0.3150257043467367
0.96388 1.02647 111.49332 0.1369150755594123
0.90322 0.91372 112.45351 0.19471537507080572
0.98401 0.95919 104.25651 0.015782443905871583
0.86138 0.89963 86.63102 0.6527112310227616
0.85678 0.8688 108.7309 0.630434836102828
0.96331 1.02162 93.94407 0.16680115588171873
0.99652 0.90279 95.73702 0.18076604261955315
0.99392 0.98674 90.2496 0.19143937572051234
0.9302 1.22001 78.98586 1.5498821237400997
0.9573 0.95831 101.58951 0.0051841192025507046
0.96177 0.96212 105.27805 0.0010723423592344419
0.96974 0.97003 99.87008 0.019855778423099272
0.97218 0.96353 112.52034 0.04736594958333772
0.86341 0.86344 115.69666 0.6850821723474227
0.96728 0.92377 108.83993 0.05016855745901013
1.00058 0.90568 95.96147 0.17537140831900916
0.96357 0.96237 102.14991 0.004128069289136753
1.03618 0.84406 137.98645 1.176215295592396
0.97046 0.96491 98.42926 0.028379883343079712
0.98675 0.98262 101.62408 0.038388286519618973
0.90129 0.99238 107.61981 0.13484263996413715
1.01164 0.9829 121.42821 0.2535356518024802
0.99411 0.89304 107.9304 0.17246468571774043
0.86145 0.96086 114.90316 0.3863835197256428
0.84468 1.07394 129.05092 1.0678003176640765
0.92878 0.93033 106.64555 0.05199990509637749
0.91561 0.93026 121.07714 0.24484068285880795
1.11398 1.1951 112.60925 1.3895813810511661
0.90931 1.05685 88.35806 0.4615917687380503
0.97946 0.94912 142.50801 0.7280625193315449
0.94798 1.06383 84.28329 0.5307015441366121
0.92475 1.06408 78.46276 0.7735938930572741
0.95109 0.95637 92.01877 0.10952020764885177
1.01304 0.90675 103.83504 0.14992338747312955
1.01885 0.99098 111.32844 0.1394690329405109
0.93357 0.98756 122.36593 0.23028491312988492
1.05075 0.81079 90.7819 1.1469681227505935
0.93888 0.94151 110.96059 0.04721474700707323
0.90666 0.90973 101.30019 0.15925518127924126
1.04161 0.89882 119.93691 0.4064610264390955
0.93862 0.93371 114.6637 0.0953966332525844
0.98048 0.98596 105.88189 0.03154142915015128
0.99937 1.01269 95.30283 0.16434786611251234
0.97776 1.04708 89.51995 0.33578873961407624
1.18398 1.12809 96.3364 1.3975108624287167
0.96602 0.97977 84.07657 0.31563370069437063
0.97313 0.91846 108.65144 0.06457920850073548
0.98253 0.98076 95.34078 0.08255501870815998
0.93667 1.20607 90.38149 1.1102723328196937
1.05388 0.87822 92.63358 0.4982515959256324
1.0735 0.95833 112.22762 0.30887156780193625
1.05346 1.07155 70.26025 1.3729001678169541
1.14959 1.23471 114.87802 1.8340356983785688
0.98408 0.89763 107.47728 0.1367678955689446
1.04926 1.04306 84.4162 0.6244506277229036
