dis_1 dis_2 ang_1 delta_har
1.14342 1.2367 80.21682 -0.7392894181
1.02391 0.73673 79.35439 0.8508358195
1.1394 1.16501 122.44225 -0.6141748663
0.71603 1.08919 79.87817 1.0648628704
1.1125 0.75938 131.23985 0.4082546716
0.926 1.33789 77.32568 -1.8770602675
1.07199 1.19301 105.10799 -0.6486868302
0.96102 0.92424 85.13784 -0.0020293478
1.15484 1.21889 96.98143 -1.0292035019
1.04796 0.85982 99.24935 0.0271234145
1.21265 0.81496 71.28648 -0.6360683402
1.05495 0.76026 93.41768 0.5941752386
0.99685 0.69096 135.17995 1.5733075410
1.3492 0.98414 101.59755 -2.1936009536
1.1503 1.00952 78.77361 -0.1600368223
1.14343 0.71407 106.57921 1.1008018732
0.91028 1.04469 107.45158 -0.0253168536
0.93903 1.33158 121.68472 -1.8958728320
1.08802 1.27006 75.01346 -0.7974186522
1.24269 0.85676 88.81955 -0.8887443704
0.79107 1.03578 140.36474 0.0254646772
1.20482 0.78201 116.59134 -0.1649509847
1.21689 1.23472 76.79068 -0.9128579536
1.01162 1.27814 77.2644 -0.9981727319
0.90223 0.82575 114.99284 0.1611551133
0.98996 0.91129 132.68778 -0.0930402792
0.84572 0.95247 130.24633 -0.0397223589
0.77174 1.1305 67.6899 0.0329558270
0.93746 1.03444 138.43048 -0.1231389269
1.05852 0.88786 119.25851 -0.0266027987
1.08081 1.17124 74.54731 -0.1528788684
0.78747 1.13749 73.33116 -0.0369010302
1.05056 0.85574 99.16913 0.0329481856
0.88717 1.23779 110.27559 -0.8756311749
1.3332 0.9252 93.24643 -1.9333396726
1.02878 1.33652 79.55289 -1.6740934575
0.85844 1.31592 103.48724 -1.6744210253
1.07741 0.95745 110.78839 -0.0826324248
1.15426 0.87819 107.67932 -0.3057932079
1.05872 0.68251 112.78267 2.0840432445
1.3461 0.9836 92.45295 -2.0679666017
1.16409 0.8668 122.52964 -0.3169601504
0.89983 0.99995 66.75996 -0.0333678995
1.4447 0.99742 81.14393 -3.4929542423
1.03352 1.02358 127.71029 -0.0054365016
1.25565 1.03834 114.32119 -1.0989655912
0.71965 1.12471 86.46505 0.9450618960
1.30081 0.93922 78.54735 -1.4009553082
0.93502 0.85206 109.55753 0.0843751368
1.06631 0.63427 94.27171 3.7309366162
1.14886 0.70216 127.2751 1.2665176103
0.93536 1.24402 115.41628 -0.9453874757
0.84316 1.04359 107.13861 0.0835342896
0.94292 0.6841 97.2579 2.0861871302
0.8064 0.96494 135.83962 0.0030303795
0.98891 0.90671 98.43084 0.0064427944
0.72476 1.09433 66.9262 0.7119616767
1.00848 1.30566 135.94909 -1.3876261297
1.10982 0.73755 121.64806 0.7927739061
0.907 0.86268 75.32999 0.0296845702
1.08973 1.27323 92.71864 -1.2307718348
0.82846 1.12296 102.32401 -0.0489064622
1.01675 1.02835 104.47445 -0.0297311371
0.69858 1.12675 119.42549 1.4941163965
0.97767 1.11715 93.60765 -0.1676292423
0.94515 1.01798 127.16177 -0.0258419850
1.04294 1.37496 83.68049 -2.2923353313
0.9442 0.87214 75.62359 0.0049844423
1.02806 0.82344 119.6637 0.1519589503
1.01309 1.00201 110.37556 -0.0122452489
0.90744 1.29232 117.30277 -1.4208173598
1.21418 1.05694 87.53949 -0.6038607221
0.8843 1.27501 133.06968 -1.1592123662
1.06647 1.09973 123.32418 -0.1508543620
1.01667 1.04511 100.98367 -0.0418466483
0.98836 1.05868 78.26477 0.0301580058
0.80424 0.8849 90.24654 0.3164165615
1.06006 0.81215 132.75051 0.0689681786
1.17519 1.18498 74.43108 -0.3804123731
0.91002 0.83342 97.88728 0.1566458163
1.3079 0.87983 78.13582 -1.5739686955
1.19694 1.19883 133.81848 -0.9056192577
0.95347 1.14357 93.5501 -0.2749622538
1.21887 0.90799 122.8907 -0.6989435862
1.06017 1.31008 78.85523 -1.3054730484
1.14189 0.73932 88.52695 0.5721386621
0.93868 1.19202 110.47744 -0.5565949068
0.93653 1.32955 95.03854 -1.8907014154
0.91163 1.34346 107.02494 -2.1127641950
0.91043 1.20964 128.35154 -0.6163621639
1.05754 0.70445 82.82468 1.4064938838
0.8566 1.21228 116.5339 -0.6009439912
1.0436 0.9503 140.35385 -0.1317330533
1.32609 0.89189 117.93044 -1.8231121158
0.88868 1.23787 122.30464 -0.8417966576
0.91898 1.02654 87.57376 -0.0097381088
0.72718 1.14699 67.243 0.4396504922
0.94067 1.19841 83.48704 -0.5283372906
1.13295 0.90306 87.93344 -0.2308620395
0.97328 1.01126 79.47036 0.0306381195
0.83003 0.93537 88.22621 0.1450907268
0.9651 0.74789 74.51227 0.7150111078
1.16691 0.76645 122.63204 0.2015332366
1.27874 1.02848 100.88021 -1.3131232613
0.90056 1.32159 132.19151 -1.6930520843
0.90075 0.75959 111.36956 0.6757451801
1.14781 1.17664 95.28413 -0.6976563447
1.16124 0.70439 117.20762 1.2272110243
1.01552 1.10125 73.164 0.0315670354
0.88863 1.07192 111.19567 -0.0467907270
1.26513 1.10227 87.71413 -1.0749622082
1.1375 0.96753 92.21738 -0.2386893144
0.97198 1.0449 85.77336 0.0013305472
0.90199 1.33599 72.85453 -1.8873984963
0.65761 0.98187 125.28655 2.7751792768
1.07348 0.87618 125.48298 -0.0504340571
1.06955 1.02961 88.60498 -0.0283722561
1.3356 1.09105 84.8969 -1.7750167349
1.21387 0.77274 89.67626 -0.2437384894
1.16972 1.07402 112.45098 -0.5091473339
0.81308 1.05553 116.24025 0.1910582027
0.73678 0.99956 97.03836 0.9715516010
0.98228 1.27878 76.9928 -1.0583648926
0.96082 1.07189 135.84118 -0.0810775750
0.83129 0.88362 97.89878 0.1889646184
1.13681 0.74317 65.23984 0.2395898888
1.31633 0.93194 99.41801 -1.7407604080
1.06378 1.30773 120.29776 -1.6628640000
0.97715 0.94654 73.582 0.0046842634
1.42817 0.98632 76.76481 -3.1228691770
