dis_1 dis_2 ang_1 delta_int
1.14342 1.2367 80.21682 -0.3597233472
1.02391 0.73673 79.35439 0.1240985627
1.1394 1.16501 122.44225 0.1045766163
0.71603 1.08919 79.87817 0.0596107213
1.1125 0.75938 131.23985 0.0145461669
0.926 1.33789 77.32568 -0.3377734943
1.07199 1.19301 105.10799 -0.0108110985
0.96102 0.92424 85.13784 0.0222274750
1.15484 1.21889 96.98143 -0.1093581441
1.04796 0.85982 99.24935 0.0042555837
1.21265 0.81496 71.28648 -0.2093355713
1.05495 0.76026 93.41768 0.0339015369
0.99685 0.69096 135.17995 -0.1392517900
1.3492 0.98414 101.59755 -0.0325230383
1.1503 1.00952 78.77361 -0.2226419331
1.14343 0.71407 106.57921 0.0251887965
0.91028 1.04469 107.45158 0.0060101714
0.93903 1.33158 121.68472 0.1240315177
1.08802 1.27006 75.01346 -0.4499774105
1.24269 0.85676 88.81955 -0.0899051251
0.79107 1.03578 140.36474 -0.0520223857
1.20482 0.78201 116.59134 0.0615628831
1.21689 1.23472 76.79068 -0.4809064906
1.01162 1.27814 77.2644 -0.3527384643
0.90223 0.82575 114.99284 -0.0609173768
0.98996 0.91129 132.68778 -0.0087761398
0.84572 0.95247 130.24633 -0.0751330707
0.77174 1.1305 67.6899 -0.0572660365
0.93746 1.03444 138.43048 0.0437172698
1.05852 0.88786 119.25851 0.0179518938
1.08081 1.17124 74.54731 -0.3635900600
0.78747 1.13749 73.33116 -0.0614479849
1.05056 0.85574 99.16913 0.0046404260
0.88717 1.23779 110.27559 0.0448401878
1.3332 0.9252 93.24643 -0.1001293688
1.02878 1.33652 79.55289 -0.3625711902
0.85844 1.31592 103.48724 0.0163774548
1.07741 0.95745 110.78839 0.0195343799
1.15426 0.87819 107.67932 0.0210572582
1.05872 0.68251 112.78267 -0.0043618073
1.3461 0.9836 92.45295 -0.1356519901
1.16409 0.8668 122.52964 0.0669080446
0.89983 0.99995 66.75996 0.0242252341
1.4447 0.99742 81.14393 -0.3697986758
1.03352 1.02358 127.71029 0.0682801206
1.25565 1.03834 114.32119 0.0598514706
0.71965 1.12471 86.46505 0.0213406538
1.30081 0.93922 78.54735 -0.2968393469
0.93502 0.85206 109.55753 -0.0205838715
1.06631 0.63427 94.27171 0.1645824761
1.14886 0.70216 127.2751 0.0286362706
0.93536 1.24402 115.41628 0.0701572179
0.84316 1.04359 107.13861 0.0041579751
0.94292 0.6841 97.2579 0.0673784442
0.8064 0.96494 135.83962 -0.1057869816
0.98891 0.90671 98.43084 0.0043484034
0.72476 1.09433 66.9262 0.0644795587
1.00848 1.30566 135.94909 0.2054123240
1.10982 0.73755 121.64806 0.0092368796
0.907 0.86268 75.32999 0.1852802200
1.08973 1.27323 92.71864 -0.1540597537
0.82846 1.12296 102.32401 0.0085281490
1.01675 1.02835 104.47445 -0.0018832021
0.69858 1.12675 119.42549 0.0161098922
0.97767 1.11715 93.60765 -0.0583958049
0.94515 1.01798 127.16177 0.0253967436
1.04294 1.37496 83.68049 -0.3119755314
0.9442 0.87214 75.62359 0.1209241301
1.02806 0.82344 119.6637 -0.0149797160
1.01309 1.00201 110.37556 0.0135159426
0.90744 1.29232 117.30277 0.0921626067
1.21418 1.05694 87.53949 -0.1844923525
0.8843 1.27501 133.06968 0.1625391946
1.06647 1.09973 123.32418 0.0878416363
1.01667 1.04511 100.98367 -0.0159713213
0.98836 1.05868 78.26477 -0.1271081950
0.80424 0.8849 90.24654 0.1131835817
1.06006 0.81215 132.75051 -0.0088073344
1.17519 1.18498 74.43108 -0.4623264084
0.91002 0.83342 97.88728 0.0337822744
1.3079 0.87983 78.13582 -0.2689158687
1.19694 1.19883 133.81848 0.1871504271
0.95347 1.14357 93.5501 -0.0585553383
1.21887 0.90799 122.8907 0.0968547913
1.06017 1.31008 78.85523 -0.3797616167
1.14189 0.73932 88.52695 0.0053017804
0.93868 1.19202 110.47744 0.0353720879
0.93653 1.32955 95.03854 -0.0835959430
0.91163 1.34346 107.02494 0.0329833551
0.91043 1.20964 128.35154 0.1153891763
1.05754 0.70445 82.82468 0.0909092916
0.8566 1.21228 116.5339 0.0663190117
1.0436 0.9503 140.35385 0.0618152960
1.32609 0.89189 117.93044 0.1047085000
0.88868 1.23787 122.30464 0.0997875698
0.91898 1.02654 87.57376 -0.0170086147
0.72718 1.14699 67.243 -0.0479212322
0.94067 1.19841 83.48704 -0.1596759048
1.13295 0.90306 87.93344 -0.0664893935
0.97328 1.01126 79.47036 -0.0628898235
0.83003 0.93537 88.22621 0.0859056188
0.9651 0.74789 74.51227 0.2404775808
1.16691 0.76645 122.63204 0.0520007249
1.27874 1.02848 100.88021 -0.0455892555
0.90056 1.32159 132.19151 0.1799335155
0.90075 0.75959 111.36956 -0.0582777069
1.14781 1.17664 95.28413 -0.1152458605
1.16124 0.70439 117.20762 0.0365204245
1.01552 1.10125 73.164 -0.2451175951
0.88863 1.07192 111.19567 0.0141696306
1.26513 1.10227 87.71413 -0.2258952759
1.1375 0.96753 92.21738 -0.0702316839
0.97198 1.0449 85.77336 -0.0634903672
0.90199 1.33599 72.85453 -0.4063018608
0.65761 0.98187 125.28655 -0.0888648998
1.07348 0.87618 125.48298 0.0271733085
1.06955 1.02961 88.60498 -0.0924490082
1.3356 1.09105 84.8969 -0.2972419874
1.21387 0.77274 89.67626 -0.0358220127
1.16972 1.07402 112.45098 0.0403890008
0.81308 1.05553 116.24025 -0.0009144577
0.73678 0.99956 97.03836 0.0400243372
0.98228 1.27878 76.9928 -0.3364866438
0.96082 1.07189 135.84118 0.0796348561
0.83129 0.88362 97.89878 0.0392172879
1.13681 0.74317 65.23984 -0.0506558416
1.31633 0.93194 99.41801 -0.0364058069
1.06378 1.30773 120.29776 0.1023320580
0.97715 0.94654 73.582 -0.0082216264
1.42817 0.98632 76.76481 -0.4548828604
1.04408 1.32465 111.60275 0.0423528580
1.06078 1.14543 109.61683 0.0221345724
0.94617 1.33227 83.01764 -0.2484605634
1.17143 1.09213 108.72117 0.0145783873
1.36482 0.94571 103.08094 -0.0080935519
