dis_1 dis_2 ang_1 delta_nor
0.8185 0.9848 99.48445 0.1695633050
1.03869 1.06584 100.30227 -0.0054364547
0.99231 0.8116 121.62531 0.1730014916
1.0239 1.07016 121.21123 0.0300777795
1.05464 0.83798 91.36833 0.0289258084
1.04547 0.84365 103.40487 0.0569409046
0.96068 1.17391 89.99414 -0.3573749619
0.91812 1.05922 86.27171 -0.0609696677
0.99416 1.02332 121.71382 0.0251083975
0.97686 1.15154 88.68275 -0.2301749688
1.0899 1.01488 114.24981 -0.0189268479
0.99542 0.85104 112.24249 0.0760664808
0.95326 1.12111 98.13262 -0.1676254459
0.94796 1.0052 106.96425 -0.0045506772
0.92976 0.95615 99.7737 0.0001072841
0.94404 0.90363 120.74275 -0.0162840206
0.98069 1.01727 102.30586 -0.0043832944
0.99153 0.97063 91.65856 0.0010569106
1.11792 0.9555 108.22992 -0.1479404404
0.96411 0.94201 120.10709 -0.0029400834
0.98157 0.91094 99.80257 0.0047206347
0.87896 0.88714 115.731 -0.0211178995
0.83334 1.04823 99.16269 0.0761596605
0.87865 0.97168 104.00281 0.0298117366
1.13362 0.9812 112.51644 -0.1451516713
0.95821 1.12719 116.5916 -0.1492779294
0.92629 0.89698 105.19591 0.0044821526
1.06676 0.90944 93.97199 -0.0670129441
0.91763 1.0318 97.38229 -0.0199787144
0.91471 1.00151 110.07182 0.0013306982
1.12497 0.95191 99.22016 -0.1802832884
0.96156 0.90584 107.10201 0.0077112737
1.1681 0.97961 99.90535 -0.2813003680
0.87512 1.07929 103.69476 -0.0691316014
0.90261 1.03363 120.61391 -0.0073677212
0.97395 0.81529 110.93184 0.1846759225
0.9005 0.99766 100.49069 0.0074689000
0.81326 1.03658 103.43807 0.1789159641
0.94439 0.97431 92.37791 -0.0031947003
0.96624 1.03373 95.06635 -0.0133620377
0.97302 0.82027 123.00821 0.1128042427
0.98837 0.90599 110.0741 0.0076328153
0.97504 1.16511 109.07582 -0.2660471899
1.04322 0.89665 117.6163 -0.0141122632
1.05603 0.92446 109.43507 -0.0425189923
1.04126 0.97597 116.81073 -0.0008376271
0.89059 1.00751 86.90432 -0.0131263550
0.99927 0.79148 101.86356 0.3153293709
1.13547 0.97438 97.32271 -0.1801423470
0.96826 1.13364 91.8151 -0.1848207126
1.09465 1.05233 94.64239 -0.0128766161
0.90452 1.01765 99.46125 -0.0043117852
1.03074 1.07863 112.56454 -0.0021441751
0.89405 1.10797 107.98296 -0.1571715135
0.82965 1.01949 121.90808 0.1093464873
1.06537 0.85901 104.84905 -0.0127123793
0.88864 0.95364 118.54391 0.0000619782
0.99438 1.13023 100.21423 -0.1339910770
1.02677 0.91726 100.11001 -0.0149894999
1.11713 0.93613 105.45346 -0.1695429439
0.953 1.16307 97.86218 -0.3182715383
1.0819 1.05646 116.99215 0.0255985980
1.00652 0.81594 106.21834 0.1919704661
0.8423 0.97136 111.26998 0.0927316046
0.94557 1.02972 107.02417 -0.0162998843
0.97637 1.08953 121.54766 -0.0304957054
0.96054 0.99146 106.33021 -0.0011666093
1.08768 0.93359 94.02431 -0.1013624229
1.07891 1.0297 96.65657 -0.0154094379
0.95955 1.05824 87.92719 -0.0359792337
1.12745 0.90164 98.8721 -0.2356611298
1.02394 1.10027 105.56127 -0.0399565135
1.07351 0.96773 118.44631 -0.0285695852
1.12185 0.92858 95.08385 -0.1984932588
1.17338 0.96834 113.83071 -0.3003460763
1.16252 0.96284 110.09649 -0.2787608632
1.08036 1.05996 94.08136 -0.0012840078
1.14687 0.92989 102.39901 -0.2841537536
0.98152 1.02801 93.21951 -0.0041217243
0.86786 1.00385 85.26572 -0.0053711950
0.96017 0.8312 121.25171 0.0771314076
0.98092 1.00759 96.12071 0.0000079879
1.08401 1.08542 88.1019 0.0052023082
1.01313 0.81182 87.83158 0.1380360152
1.16301 0.97741 94.80692 -0.2695071291
1.04726 0.88836 92.57564 -0.0307789581
0.84836 1.0497 98.54427 0.0313842775
0.96723 0.8619 99.78714 0.0478460525
0.88309 0.96116 109.58709 0.0220553894
0.99035 1.05839 109.09566 -0.0190301608
1.16657 0.97052 110.19194 -0.2786225620
0.81497 0.97633 99.95968 0.1809751125
0.89304 0.94769 86.92885 -0.0306684832
0.98821 1.13494 88.47915 -0.1556458762
0.99129 0.77412 106.86297 0.4423871392
0.97256 0.84907 85.40529 0.0066045181
1.06094 0.86991 111.96791 -0.0167732324
0.89944 0.95947 123.26237 -0.0158112293
1.03748 0.862 108.43259 0.0293709080
0.93026 0.91391 90.32003 -0.0227297254
1.03006 1.08888 94.7657 -0.0224566860
1.02123 0.84719 119.42096 0.0678971758
1.03492 1.13876 91.32466 -0.0905110752
1.00116 1.11837 111.61296 -0.0834987440
1.09939 0.8935 104.1789 -0.1349183822
1.00063 1.04443 107.6601 -0.0071968151
0.87935 1.00115 96.48502 0.0203172267
1.00364 1.11769 89.30944 -0.0896031297
1.10801 0.90235 115.56839 -0.1446745031
0.97032 0.83024 93.31586 0.0980183474
0.85224 1.0497 117.90152 0.0326286811
0.99836 1.10018 92.21099 -0.0646152627
1.113 0.95813 88.6718 -0.1398591582
0.88744 0.90917 108.59623 0.0019280418
0.9257 1.01143 105.05232 -0.0062508574
0.85465 0.94102 105.26339 0.0514908235
1.10069 1.04042 105.94762 -0.0254993848
1.11519 0.9197 120.6738 -0.1451138648
0.9398 1.07537 96.91408 -0.0734941015
0.99628 0.80539 100.44595 0.2335997745
0.95231 0.90033 112.10586 0.0056342470
1.0716 0.92864 113.96037 -0.0589131060
1.04762 0.8883 104.90851 -0.0206608115
0.81542 1.03336 121.90986 0.1548567501
1.06056 0.9709 94.57281 -0.0338725530
0.92704 1.15857 108.39363 -0.3292612728
1.0049 0.88347 99.91048 0.0185327146
1.01572 1.11479 115.76268 -0.0452181252
0.96836 1.0446 109.78694 -0.0183421406
0.91558 0.98973 93.51128 -0.0022874285
1.03163 0.98859 93.61375 -0.0035219847
0.88867 0.91182 103.28389 0.0030316798
0.99796 1.02725 113.12524 0.0051593445
1.09611 1.00807 103.17599 -0.0513993110
0.7979 1.01103 109.17756 0.2829215173
0.94531 1.06021 117.89944 -0.0293103951
0.86277 0.91993 100.67567 0.0208449495
0.84979 0.96203 121.98485 0.0336759014
1.03915 0.90706 86.0648 -0.0383306532
1.10396 0.92402 104.13555 -0.1424305343
0.98347 1.06932 113.17035 -0.0260335876
0.98996 0.97356 87.42164 0.0003564119
0.94125 0.89224 118.73738 -0.0089009711
1.13153 0.97108 118.76663 -0.1340050910
1.0158 0.8102 114.69457 0.2097093259
0.93471 1.10839 121.41892 -0.1114657678
0.97986 0.92737 85.81099 -0.0174092879
0.9496 1.03923 111.2681 -0.0190528871
0.95268 0.91973 112.34035 -0.0000646474
0.90649 0.91218 112.10365 -0.0054337383
1.07678 0.94765 103.75687 -0.0706506738
0.98247 1.13969 100.83966 -0.1781931024
0.88387 1.0343 87.17326 -0.0250631548
1.06427 0.94664 101.20072 -0.0527040138
0.87935 0.89055 117.54322 -0.0289836292
0.96871 0.88242 98.32967 0.0204830499
0.99893 0.95439 103.98843 -0.0030445925
0.95314 1.02873 120.63557 0.0021877784
0.95405 1.14629 97.42336 -0.2494932050
0.97943 0.78679 112.51076 0.3363473717
1.13872 0.9647 111.17286 -0.1893383215
1.10084 1.00931 91.97501 -0.0538387222
1.07651 0.95661 93.82844 -0.0645692045
1.13015 0.95359 115.14845 -0.1688375961
0.88773 0.91049 118.28547 -0.0235062284
0.89951 0.917 96.03664 -0.0098328192
1.1027 0.87209 105.21155 -0.1319368824
0.95995 0.91468 103.11622 0.0041985447
0.84514 1.02478 86.34255 0.0255873513
1.03493 0.81059 85.35316 0.1086310913
1.00808 0.86682 116.46336 0.0392151560
1.06814 0.87792 117.86466 -0.0357977113
0.86987 0.90677 123.14504 -0.0553870978
1.00755 1.09428 95.08618 -0.0480287376
1.08851 1.04878 108.37998 -0.0067073109
0.83875 0.9548 122.9594 0.0404881565
1.12472 0.93135 98.26849 -0.2035685446
1.18604 0.99141 90.38029 -0.3347262454
0.91675 1.11942 86.8892 -0.2093989008
1.02722 0.94907 96.36023 -0.0146025635
1.00845 0.96024 90.99261 -0.0032977334
1.08096 0.87666 98.10047 -0.0805097512
0.94255 0.94956 117.73428 -0.0045398551
0.81781 1.00655 90.01912 0.1320979873
0.93279 0.93262 119.89497 -0.0144568274
0.83694 0.98579 113.79604 0.1090824302
0.87834 0.97822 103.05864 0.0305082241
1.022 1.06345 92.22442 -0.0050369384
0.95093 1.04049 97.67887 -0.0242758769
0.92528 1.04044 90.55191 -0.0311272146
1.08548 0.9633 120.71787 -0.0410733557
0.87207 1.10205 109.51614 -0.1246410291
0.88995 1.08742 86.19703 -0.1247234887
1.08414 0.87638 96.83195 -0.0901197238
0.97211 1.12836 102.50237 -0.1609888953
1.03788 0.81036 111.92179 0.1953242046
0.99219 0.85596 89.742 0.0328605280
0.82985 0.98866 110.03997 0.1373019164
0.98579 0.79229 104.50176 0.3106315311
1.14373 0.95361 109.70111 -0.2264959164
0.84571 1.07468 121.85801 -0.0008838551
0.98396 1.13529 89.25053 -0.1638987764
0.8791 1.07285 120.23871 -0.0443891777
1.11183 0.92321 96.70541 -0.1702379934
1.00359 0.82703 101.85137 0.1437149612
1.07325 0.91125 119.48315 -0.0557496334
1.04095 1.01485 89.37188 0.0052156497
1.14016 0.99841 105.73378 -0.1484216246
1.03568 0.84014 110.6532 0.0838136432
1.00225 0.81709 105.72329 0.1874785234
0.97433 0.93723 115.36628 0.0002637666
0.97221 1.1319 104.03956 -0.1694900597
0.95719 1.0559 102.97893 -0.0375046760
0.86145 0.98185 95.23339 0.0427096833
1.02096 0.88933 111.68091 0.0079086967
0.98748 1.04803 109.49316 -0.0126717926
0.85139 1.0678 102.29381 -0.0056059618
0.91694 1.14778 116.70109 -0.2747924933
1.09112 0.8931 120.20622 -0.0906508999
0.8889 0.94311 116.28961 0.0006029232
0.95801 1.14252 114.26855 -0.2036658143
0.95018 1.16017 88.43666 -0.3193905092
0.9421 0.99928 92.89047 -0.0044776030
0.94441 1.17222 108.55431 -0.3610804769
0.89305 0.94345 123.35652 -0.0267222106
1.06021 1.03456 108.52638 -0.0000640514
0.99101 0.80962 90.79791 0.1667662549
1.04464 1.05972 113.46432 0.0135726054
0.9766 1.14269 107.54737 -0.1896030030
1.03519 1.12641 90.57406 -0.0656925788
0.94173 1.01158 111.68464 -0.0047875805
0.93969 0.86126 119.86155 0.0069734834
1.00453 0.97877 113.1541 0.0038047045
0.95506 0.9694 104.95593 -0.0000457776
1.08917 0.96675 97.41912 -0.0792199577
0.93576 0.89863 117.14473 -0.0087054010
1.1094 0.964 91.59689 -0.1235005213
1.07156 0.94121 112.17183 -0.0569494017
0.88821 0.99919 117.84124 0.0142905971
1.11962 0.98592 97.57403 -0.1209790700
0.94009 0.92995 87.77752 -0.0240244858
0.98361 1.07193 104.64023 -0.0402183632
1.08866 1.01856 114.77123 -0.0127842716
0.96562 0.95012 93.57752 -0.0023495349
0.95593 0.88271 88.74645 -0.0132050214
0.85664 1.01488 119.40412 0.0502260559
0.9494 0.85715 100.28107 0.0477051913
0.97874 0.8042 110.00187 0.2403649359
0.95727 0.94537 97.78656 -0.0009882004
1.07976 0.92939 120.78091 -0.0581432663
1.03506 0.93105 96.72504 -0.0233325362
0.81861 1.01219 93.16153 0.1456483941
0.99782 1.1072 89.85334 -0.0763652247
1.08036 0.91201 104.31787 -0.0885503091
1.00706 0.83501 117.14465 0.1099345498
0.99286 1.11533 97.76521 -0.1022695709
0.99698 0.89185 92.18694 0.0032442069
0.9202 0.92293 94.73565 -0.0105833868
0.87126 0.90981 109.93825 0.0086093989
1.00511 1.01179 103.46981 -0.0002660400
0.94263 0.87274 104.23245 0.0270846155
0.94181 0.9632 101.75735 0.0001567996
0.93644 1.05793 113.47795 -0.0381575308
0.98099 0.94144 98.57987 -0.0006725251
0.78977 0.99955 97.76508 0.3119512514
0.85846 0.97906 107.0603 0.0619696891
0.92482 1.10579 120.35691 -0.1166385077
0.85265 0.99332 104.44563 0.0741115310
1.12404 0.94121 95.55112 -0.1917550976
1.0541 0.94739 86.52973 -0.0392551897
0.99538 1.03309 117.66577 0.0132606463
0.96839 0.93174 117.08308 -0.0013064841
0.9256 1.01622 96.65822 -0.0100591141
1.10681 0.93474 116.73162 -0.1213308212
1.07237 1.03086 114.11801 0.0058656227
0.91286 1.06333 118.34894 -0.0419268855
0.9407 1.09803 121.75013 -0.0813400878
1.09207 0.86438 109.1809 -0.0848831556
1.0399 1.08937 106.29579 -0.0156831649
0.94019 1.15967 104.15002 -0.3202844047
0.80466 0.99455 102.58199 0.2417370930
0.98212 0.97369 104.84982 -0.0000679411
1.15977 0.97644 96.02684 -0.2586248258
0.95288 0.90642 99.82709 0.0043166446
1.06395 1.02601 105.63715 -0.0080213201
0.89467 0.90411 118.83666 -0.0288938666
0.80945 1.03773 106.71135 0.1993547134
0.93577 0.89994 105.17541 0.0056127268
0.84106 0.95266 104.6269 0.0875500885
1.03564 0.94725 119.32018 -0.0055701979
1.10994 0.97473 87.95772 -0.1106179613
0.83871 1.02136 123.01425 0.0780965565
1.05139 0.95662 117.02056 -0.0169718185
1.0365 0.96735 113.84942 -0.0079050709
0.99901 1.13311 103.41021 -0.1321289284
1.05836 0.85994 110.55673 0.0033201749
0.83135 1.0603 100.16943 0.0616660397
0.92419 0.9 109.79361 0.0007249120
1.02613 0.90008 117.06621 -0.0021038453
1.07667 0.86981 106.38387 -0.0538318651
0.91776 1.02722 104.28185 -0.0144811280
0.95594 1.08687 112.8669 -0.0714299437
1.00864 0.86197 104.70841 0.0511122043
1.01713 0.87547 96.92805 0.0180086182
1.06924 0.97979 89.79896 -0.0351465129
0.94561 0.93488 120.23973 -0.0105182107
0.85615 0.94832 96.30833 0.0387110403
1.03997 0.98033 93.36951 -0.0108165401
0.95773 0.91094 109.60217 0.0044149104
1.09937 1.03177 113.12395 -0.0167962466
0.93044 1.12817 98.89324 -0.2159489274
1.13162 0.93097 98.75717 -0.2275667530
0.9087 0.87209 118.01065 -0.0192542895
1.06909 1.02822 114.79061 0.0080712475
1.01774 0.81273 122.88385 0.1680664140
0.88191 0.98297 123.39877 0.0036736271
0.85667 1.0863 95.44108 -0.0750496487
1.01209 0.98934 101.76774 -0.0016797399
1.01588 1.09031 109.35341 -0.0304027878
0.87732 0.88534 111.69573 -0.0068404691
1.0104 0.90095 91.14048 -0.0069606091
1.0153 1.02704 107.4189 0.0010410815
1.00335 1.12193 109.8462 -0.0917016774
0.91223 0.89202 100.14867 -0.0013298168
0.94847 1.03117 104.12785 -0.0177866397
0.86473 1.01239 109.03158 0.0451757389
0.96774 1.03086 109.72368 -0.0100670673
0.98972 0.93961 102.5377 -0.0013740876
0.89907 1.01688 86.83178 -0.0193188619
0.9222 1.06568 121.45242 -0.0385865928
0.95582 1.09774 105.48263 -0.1031631705
1.02998 1.07151 103.82614 -0.0113700085
0.9462 1.01918 104.4119 -0.0108275215
0.92177 1.08896 96.07849 -0.1098170354
0.90446 1.12069 107.97529 -0.1986577281
0.9823 0.934 89.92712 -0.0068368273
1.01838 0.81292 116.76642 0.1913398760
0.93766 0.86038 115.91586 0.0234089262
0.81452 1.01191 118.47408 0.1805685642
0.8849 1.07638 110.97542 -0.0645314677
0.92737 0.87115 122.21838 -0.0273972606
0.88438 0.88369 115.01916 -0.0183360564
0.99368 1.12256 95.96829 -0.1168444550
0.92689 0.93347 85.20595 -0.0399197884
1.04055 1.11603 96.5311 -0.0460921589
0.95391 0.82606 116.0953 0.1125122241
0.94509 1.09881 117.73365 -0.0912330031
1.00684 1.11449 91.05632 -0.0799124032
