dis_1 dis_2 ang_1 e_dir
0.8185 0.9848 99.48445 0.7847123602
1.03869 1.06584 100.30227 0.3654194794
0.99231 0.8116 121.62531 0.9848623711
1.0239 1.07016 121.21123 0.5834527016
1.05464 0.83798 91.36833 0.8421114864
1.04547 0.84365 103.40487 0.6334661815
0.96068 1.17391 89.99414 0.8217533124
0.91812 1.05922 86.27171 0.4605480794
0.99416 1.02332 121.71382 0.3435376066
0.97686 1.15154 88.68275 0.7272541064
1.0899 1.01488 114.24981 0.513139234
0.99542 0.85104 112.24249 0.4590990976
0.95326 1.12111 98.13262 0.4882858642
0.94796 1.0052 106.96425 0.0616962503
0.92976 0.95615 99.7737 0.0426578721
0.94404 0.90363 120.74275 0.2288832372
0.98069 1.01727 102.30586 0.0885419887
0.99153 0.97063 91.65856 0.1257919598
1.11792 0.9555 108.22992 0.4989160058
0.96411 0.94201 120.10709 0.1533996062
0.98157 0.91094 99.80257 0.0986564636
0.87896 0.88714 115.731 0.3944094914
0.83334 1.04823 99.16269 0.7652282649
0.87865 0.97168 104.00281 0.2113361083
1.13362 0.9812 112.51644 0.6434172084
0.95821 1.12719 116.5916 0.6608088814
0.92629 0.89698 105.19591 0.1444121697
1.06676 0.90944 93.97199 0.3715860475
0.91763 1.0318 97.38229 0.1962689734
0.91471 1.00151 110.07182 0.1230762499
1.12497 0.95191 99.22016 0.5046676111
0.96156 0.90584 107.10201 0.0855794335
1.1681 0.97961 99.90535 0.7333158535
0.87512 1.07929 103.69476 0.5251993366
0.90261 1.03363 120.61391 0.3908830727
0.97395 0.81529 110.93184 0.7872105913
0.9005 0.99766 100.49069 0.1528433918
0.81326 1.03658 103.43807 0.943050169
0.94439 0.97431 92.37791 0.1127393927
0.96624 1.03373 95.06635 0.163092008
0.97302 0.82027 123.00821 0.8676625941
0.98837 0.90599 110.0741 0.1238707979
0.97504 1.16511 109.07582 0.7670675614
1.04322 0.89665 117.6163 0.3945658752
1.05603 0.92446 109.43507 0.2625583287
1.04126 0.97597 116.81073 0.281495369
0.89059 1.00751 86.90432 0.4323378178
0.99927 0.79148 101.86356 1.1765672984
1.13547 0.97438 97.32271 0.5626131827
0.96826 1.13364 91.8151 0.5946902802
1.09465 1.05233 94.64239 0.5459277269
0.90452 1.01765 99.46125 0.1853485816
1.03074 1.07863 112.56454 0.4814971377
0.89405 1.10797 107.98296 0.5771082908
0.82965 1.01949 121.90808 0.8517865246
1.06537 0.85901 104.84905 0.578213688
0.88864 0.95364 118.54391 0.2494967383
0.99438 1.13023 100.21423 0.5509629108
1.02677 0.91726 100.11001 0.1649500286
1.11713 0.93613 105.45346 0.4903532683
0.953 1.16307 97.86218 0.7047914283
1.0819 1.05646 116.99215 0.6598444473
1.00652 0.81594 106.21834 0.8218186361
0.8423 0.97136 111.26998 0.4926933604
0.94557 1.02972 107.02417 0.12751708
0.97637 1.08953 121.54766 0.579260774
0.96054 0.99146 106.33021 0.0305994403
1.08768 0.93359 94.02431 0.3902053459
1.07891 1.0297 96.65657 0.4006120792
0.95955 1.05824 87.92719 0.349108493
1.12745 0.90164 98.8721 0.6263118536
1.02394 1.10027 105.56127 0.4859265908
1.07351 0.96773 118.44631 0.4334411606
1.12185 0.92858 95.08385 0.5421889749
1.17338 0.96834 113.83071 0.8757342368
1.16252 0.96284 110.09649 0.7584508529
1.08036 1.05996 94.08136 0.5169832368
1.14687 0.92989 102.39901 0.6433795234
0.98152 1.02801 93.21951 0.1759913506
0.86786 1.00385 85.26572 0.6158856451
0.96017 0.8312 121.25171 0.7048279052
0.98092 1.00759 96.12071 0.0973518491
1.08401 1.08542 88.1019 0.6947426254
1.01313 0.81182 87.83158 1.1343152242
1.16301 0.97741 94.80692 0.7196500533
1.04726 0.88836 92.57564 0.4155846491
0.84836 1.0497 98.54427 0.6287075441
0.96723 0.8619 99.78714 0.3419203442
0.88309 0.96116 109.58709 0.1891496911
0.99035 1.05839 109.09566 0.2626933299
1.16657 0.97052 110.19194 0.7854713402
0.81497 0.97633 99.95968 0.8168375402
0.89304 0.94769 86.92885 0.4052090374
0.98821 1.13494 88.47915 0.6575879187
0.99129 0.77412 106.86297 1.4544713304
0.97256 0.84907 85.40529 0.7466296119
1.06094 0.86991 111.96791 0.5253742269
0.89944 0.95947 123.26237 0.2901436536
1.03748 0.862 108.43259 0.4641481267
0.93026 0.91391 90.32003 0.2580905457
1.03006 1.08888 94.7657 0.4541918071
1.02123 0.84719 119.42096 0.6474189774
1.03492 1.13876 91.32466 0.7255643909
1.00116 1.11837 111.61296 0.5822088882
1.09939 0.8935 104.1789 0.5202192883
1.00063 1.04443 107.6601 0.2176413456
0.87935 1.00115 96.48502 0.2971357499
1.00364 1.11769 89.30944 0.5842597804
1.10801 0.90235 115.56839 0.6322791637
0.97032 0.83024 93.31586 0.7284148978
0.85224 1.0497 117.90152 0.6834780885
0.99836 1.10018 92.21099 0.460544746
1.113 0.95813 88.6718 0.5469334189
0.88744 0.90917 108.59623 0.2279269883
0.9257 1.01143 105.05232 0.0979824512
0.85465 0.94102 105.26339 0.3740382152
1.10069 1.04042 105.94762 0.5393826157
1.11519 0.9197 120.6738 0.7145439265
0.9398 1.07537 96.91408 0.3043356404
0.99628 0.80539 100.44595 0.968035503
0.95231 0.90033 112.10586 0.1294676657
1.0716 0.92864 113.96037 0.3685878535
1.04762 0.8883 104.90851 0.3304808244
0.81542 1.03336 121.90986 1.0629794411
1.06056 0.9709 94.57281 0.2541874071
0.92704 1.15857 108.39363 0.7475609678
1.0049 0.88347 99.91048 0.2485564842
1.01572 1.11479 115.76268 0.6625006378
0.96836 1.0446 109.78694 0.194777901
0.91558 0.98973 93.51128 0.1650829889
1.03163 0.98859 93.61375 0.1870714133
0.88867 0.91182 103.28389 0.2219356125
0.99796 1.02725 113.12524 0.213216249
1.09611 1.00807 103.17599 0.4168223073
0.7979 1.01103 109.17756 1.0904748786
0.94531 1.06021 117.89944 0.3643486325
0.86277 0.91993 100.67567 0.3739085556
0.84979 0.96203 121.98485 0.5476818571
1.03915 0.90706 86.0648 0.4463626505
1.10396 0.92402 104.13555 0.4421050727
0.98347 1.06932 113.17035 0.3441574684
0.98996 0.97356 87.42164 0.2108007569
0.94125 0.89224 118.73738 0.2393898418
1.13153 0.97108 118.76663 0.7316581114
1.0158 0.8102 114.69457 0.9673920844
0.93471 1.10839 121.41892 0.6698178992
0.97986 0.92737 85.81099 0.297144531
0.9496 1.03923 111.2681 0.1888829215
0.95268 0.91973 112.34035 0.0759807068
0.90649 0.91218 112.10365 0.1616368492
1.07678 0.94765 103.75687 0.2858431009
0.98247 1.13969 100.83966 0.5849647023
0.88387 1.0343 87.17326 0.5159961302
1.06427 0.94664 101.20072 0.2353251845
0.87935 0.89055 117.54322 0.3970787651
0.96871 0.88242 98.32967 0.2248902575
0.99893 0.95439 103.98843 0.0391130802
0.95314 1.02873 120.63557 0.295882388
0.95405 1.14629 97.42336 0.6170810032
0.97943 0.78679 112.51076 1.2230913098
1.13872 0.9647 111.17286 0.640505914
