dis_1 dis_2 ang_1 e_nor
0.8185 0.9848 99.48445 0.6151490551598375
1.03869 1.06584 100.30227 0.37085593413101037
0.99231 0.8116 121.62531 0.8118608795326877
1.0239 1.07016 121.21123 0.553374922061006
1.05464 0.83798 91.36833 0.8131856780025373
1.04547 0.84365 103.40487 0.5765252769455814
0.96068 1.17391 89.99414 1.1791282742532165
0.91812 1.05922 86.27171 0.5215177471032555
0.99416 1.02332 121.71382 0.3184292091320545
0.97686 1.15154 88.68275 0.957429075172599
1.0899 1.01488 114.24981 0.5320660819334905
0.99542 0.85104 112.24249 0.3830326168302139
0.95326 1.12111 98.13262 0.6559113100907603
0.94796 1.0052 106.96425 0.06624692745860833
0.92976 0.95615 99.7737 0.0425505879621715
0.94404 0.90363 120.74275 0.2451672578085653
0.98069 1.01727 102.30586 0.0929252831189304
0.99153 0.97063 91.65856 0.12473504923075573
1.11792 0.9555 108.22992 0.6468564462268469
0.96411 0.94201 120.10709 0.15633968963161057
0.98157 0.91094 99.80257 0.09393582891743085
0.87896 0.88714 115.731 0.415527390945335
0.83334 1.04823 99.16269 0.6890686044192239
0.87865 0.97168 104.00281 0.18152437168330618
1.13362 0.9812 112.51644 0.7885688797278954
0.95821 1.12719 116.5916 0.8100868107687337
0.92629 0.89698 105.19591 0.13993001711252764
1.06676 0.90944 93.97199 0.43859899161411386
0.91763 1.0318 97.38229 0.2162476878250924
0.91471 1.00151 110.07182 0.12174555174588725
1.12497 0.95191 99.22016 0.6849508994653477
0.96156 0.90584 107.10201 0.07786815981407762
1.1681 0.97961 99.90535 1.0146162214707262
0.87512 1.07929 103.69476 0.5943309380017257
0.90261 1.03363 120.61391 0.3982507939446839
0.97395 0.81529 110.93184 0.6025346687842343
0.9005 0.99766 100.49069 0.1453744918386894
0.81326 1.03658 103.43807 0.7641342049319589
0.94439 0.97431 92.37791 0.11593409302083615
0.96624 1.03373 95.06635 0.1764540457142228
0.97302 0.82027 123.00821 0.7548583514200359
0.98837 0.90599 110.0741 0.11623798255336204
0.97504 1.16511 109.07582 1.0331147512598238
1.04322 0.89665 117.6163 0.4086781384489629
1.05603 0.92446 109.43507 0.305077320960558
1.04126 0.97597 116.81073 0.28233299608873147
0.89059 1.00751 86.90432 0.4454641727583544
0.99927 0.79148 101.86356 0.8612379274725155
1.13547 0.97438 97.32271 0.7427555297497755
0.96826 1.13364 91.8151 0.7795109927597306
1.09465 1.05233 94.64239 0.5588043430338202
0.90452 1.01765 99.46125 0.18966036684310397
1.03074 1.07863 112.56454 0.48364131281945105
0.89405 1.10797 107.98296 0.7342798043099887
0.82965 1.01949 121.90808 0.7424400373495532
1.06537 0.85901 104.84905 0.5909260673142237
0.88864 0.95364 118.54391 0.24943476005960719
0.99438 1.13023 100.21423 0.6849539877936657
1.02677 0.91726 100.11001 0.17993952851470843
1.11713 0.93613 105.45346 0.6598962121564208
0.953 1.16307 97.86218 1.023062966628344
1.0819 1.05646 116.99215 0.6342458492782028
1.00652 0.81594 106.21834 0.6298481700339236
0.8423 0.97136 111.26998 0.3999617558329389
0.94557 1.02972 107.02417 0.1438169643265463
0.97637 1.08953 121.54766 0.6097564794060522
0.96054 0.99146 106.33021 0.03176604963651975
1.08768 0.93359 94.02431 0.4915677687892794
1.07891 1.0297 96.65657 0.4160215170657583
0.95955 1.05824 87.92719 0.3850877266938812
1.12745 0.90164 98.8721 0.8619729833641032
1.02394 1.10027 105.56127 0.5258831043084051
1.07351 0.96773 118.44631 0.46201074581394963
1.12185 0.92858 95.08385 0.7406822336722456
1.17338 0.96834 113.83071 1.1760803130610855
