c_1 c_2 c_3 dis_1 dis_2 ang_1 delta_dir delta_har delta_nor delta_int pot_dir_full pot_har_full pot_nor_full pot_int_full pot_dir_104 pot_har_104 pot_nor_104 pot_int_104 error_dir_abs_full error_dir_abs_104 dir_error_diff error_har_abs_full error_har_abs_104 har_error_diff error_nor_abs_full error_nor_abs_104 nor_error_diff error_int_abs_full error_int_abs_104 int_error_diff
-0.8 -0.6 -0.8 0.49404 1.06993 157.9258 23111.550737200003 14369.1018349 10290.6311293 2874.7379478 20544.59395800594 13486.64501065266 10710.1492068087 2780.9218298684996 16157.522891076444 9874.74534442854 9214.433168909478 874.0075583234677 2566.9567791940617 6954.027846123558 4387.071066929497 882.45682424734 4494.35649047146 3611.89966622412 419.51807750869995 1076.1979603905213 656.6798828818214 93.81611793150046 2000.7303894765323 1906.9142715450319
-0.8 -0.6 -0.7000000000000001 0.5271 1.03243 156.18597 17733.2500201 10191.4960699 6995.2697401000005 1412.0688340000002 16515.38536489169 10071.748050029933 7669.293466284823 1719.2345960165674 13767.973692975043 7909.466098041767 7228.307933929015 578.5418593964871 1217.864655208313 3965.276327124958 2747.411671916645 119.748019870066 2282.029971858233 2162.281951988167 674.0237261848225 233.0381938290147 -440.98553235580783 307.1657620165673 833.5269746035129 526.3612125869456
-0.8 -0.6 -0.6000000000000001 0.56089 0.99503 154.75791 13454.508757099999 6953.357147000001 4303.5620747 510.9730373 12940.046704184373 7137.300613035416 5025.726402022991 902.7802533312605 11405.29490279273 6030.48164037529 5271.729009835691 310.7576106482549 514.4620529156257 2049.21385430727 1534.7518013916444 183.94346603541578 922.8755066247096 738.9320405892938 722.1643273229912 968.1669351356908 246.00260781269958 391.80721603126057 200.21542665174508 -191.5917893795155
-0.8 -0.6 -0.5 0.59529 0.95774 153.60454 10107.3040168 4486.6618877 2154.6352547 -4.2133982 9912.362066626541 4742.513335486007 2840.937738632925 323.66727616523895 9184.178501547573 4332.94777601134 3462.735775662136 81.90383126047891 194.94195017345993 923.125515252428 728.1835650789681 255.8514477860072 153.7141116886609 -102.13733609734632 686.3024839329253 1308.1005209621358 621.7980370292105 327.8806743652389 86.11722946047891 -241.76344490476
-0.8 -0.6 -0.4 0.6302 0.92057 152.6967 7550.8841296 2650.6590523 487.2601477 -271.2495582 7476.808874526369 2886.0530636722374 1118.6008115612733 -49.636695285218565 7212.728103365324 2884.5359856655064 1887.1682220155308 -101.44718281125336 74.07525507363033 338.15602623467544 264.0807711610451 235.39401137223726 233.8769333655062 -1.5170780067310545 631.3406638612732 1399.9080743155307 768.5674104542575 221.61286291478143 169.80237538874664 -51.81048752603479
-0.8 -0.6 -0.30000000000000004 0.66554 0.88354 152.01206 5673.2066599 1333.3058275 -752.3565849 -392.04159350000003 5635.580880962058 1528.017200102272 -168.2137908032587 -263.6833397779348 5584.218041504593 1728.3491799085905 604.9524942414536 -237.75084403989587 37.62577893794283 88.9886183954065 51.36283945746367 194.711372602272 395.04335240859035 200.33197980631834 584.1427940967413 1357.3090791414538 773.1662850447125 128.35825372206523 154.29074946010414 25.93249573803891
-0.8 -0.6 -0.19999999999999996 0.70124 0.84666 151.53417 4389.997602400001 450.3285352 -1607.0700140000001 -437.31291880000003 4362.256354381456 612.8522220374364 -1055.2766167571358 -369.5459255167644 4371.482356216316 889.5398674350922 -341.49747114025 -329.6151439858415 27.741248018544162 18.51524618368483 -9.226001834859332 162.5236868374364 439.2113322350922 276.6876453976558 551.7933972428641 1265.57254285975 713.7791456168859 67.76699328323559 107.69777481415855 39.93078153092296
-0.8 -0.6 -0.09999999999999998 0.73725 0.80996 151.25174 3642.9313812 -56.5985966 -2107.573414 -450.447309 3619.389315253438 88.17922484885798 -1573.8248230444156 -412.41398511973796 3624.850719010735 381.8571334415456 -921.9705411730012 -381.784895683853 23.54206594656194 18.080662189265073 -5.461403757296868 144.777821448858 438.45573004154556 293.6779085926876 533.7485909555844 1185.602872826999 651.8542818714145 38.03332388026204 68.66241331614702 30.629089435884985
-0.8 -0.6 0.0 0.77353 0.77346 151.15821 3397.8287348 -221.65474569999998 -2272.2093446 -452.4873174 3375.9096640283574 -82.25992506559408 -1744.117192437719 -423.05759762251665 3373.0769699310226 212.09879109416576 -1117.4264398380053 -398.57474028515014 21.91907077164279 24.751764868977233 2.8326940973344428 139.39482063440593 433.7535367941657 294.35871615975975 528.0921521622807 1154.7829047619944 626.6907525997136 29.42971977748332 53.91257711484981 24.48285733736649
-0.8 -0.6 0.09999999999999998 0.81004 0.73719 151.25141 3643.4232678 -56.1064452 -2107.0751726000003 -450.48473290000004 3619.8840010940266 88.6643802495712 -1573.0953931241643 -412.35059911472064 3625.3791831239796 382.30647959267736 -921.2749846659158 -381.70779071450164 23.539266705973283 18.044084676020145 -5.495182029953138 144.7708254495712 438.4129247926774 293.6420993431062 533.9797794758358 1185.8001879340843 651.8204084582485 38.13413378527935 68.7769421854984 30.642808400219046
-0.8 -0.6 0.19999999999999996 0.84675 0.70119 151.53349 4390.9257257 451.2571287 -1606.0894532 -437.37935319999997 4363.1898775149175 613.7723197323523 -1053.8896666927985 -369.4056642548565 4372.438449586885 890.3692943413188 -340.21445718358405 -329.46979147650717 27.735848185082013 18.48727611311407 -9.248572071967942 162.51519103235233 439.1121656413187 276.5969746089664 552.1997865072015 1265.874996016416 713.6752095092145 67.9736889451435 107.90956172349281 39.93587277834932
