c_1 c_2 c_3 dis_1 dis_2 ang_1 delta_dir delta_har delta_nor delta_int pot_dir_full pot_har_full pot_nor_full pot_int_full pot_dir_104 pot_har_104 pot_nor_104 pot_int_104 error_dir_abs_full error_dir_abs_104 dir_error_diff error_har_abs_full error_har_abs_104 har_error_diff error_nor_abs_full error_nor_abs_104 nor_error_diff error_int_abs_full error_int_abs_104 int_error_diff
-0.8 -0.6 -0.8 0.49404 1.06993 157.9258 23111.550737200003 14369.1018349 10290.6311293 2874.7379478 14008.024205919137 3712.035708541143 3709.1261976637616 -276.60212085030923 9169.642608586058 830.4323979591323 4639.763281590452 -226.46061876162946 9103.526531280864 13941.908128613943 4838.381597333078 10657.066126358857 13538.669436940869 2881.6033105820115 6581.504931636237 5650.867847709548 -930.6370839266892 3151.340068650309 3101.1985665616294 -50.14150208867977
-0.8 -0.6 -0.7000000000000001 0.5271 1.03243 156.18597 17733.2500201 10191.4960699 6995.2697401000005 1412.0688340000002 11955.730654546545 2865.872967147493 3500.228957625995 -295.49548577003884 8097.527787702983 569.8776078933088 4255.082496066233 -240.87564897642943 5777.519365553456 9635.722232397018 3858.2028668435623 7325.623102752506 9621.61846200669 2295.995359254184 3495.0407824740055 2740.187244033767 -754.8535384402385 1707.564319770039 1652.9444829764295 -54.619836793609466
-0.8 -0.6 -0.6000000000000001 0.56089 0.99503 154.75791 13454.508757099999 6953.357147000001 4303.5620747 510.9730373 9938.428911472036 1946.571287725058 2655.8782729073987 -317.5548227664917 6992.000899795799 234.72772393706992 3437.0652260916127 -259.46482270353357 3516.0798456279636 6462.507857304199 2946.4280116762357 5006.785859274942 6718.62942306293 1711.8435637879884 1647.6838017926013 866.4968486083877 -781.1869531842136 828.5278600664917 770.4378600035335 -58.09000006295821
-0.8 -0.6 -0.5 0.59529 0.95774 153.60454 10107.3040168 4486.6618877 2154.6352547 -4.2133982 8062.997834685193 1000.5821685673708 1391.7363130851072 -341.6290398368556 5918.352529197117 -151.7526275199284 2346.978096136731 -281.2261552154508 2044.3061821148074 4188.951487602883 2144.645305488076 3486.0797191326296 4638.414515219929 1152.3347960872993 762.8989416148928 192.34284143673096 -570.5561001781618 337.41564163685564 277.0127570154508 -60.40288462140484
-0.8 -0.6 -0.4 0.6302 0.92057 152.6967 7550.8841296 2650.6590523 487.2601477 -271.2495582 6418.861397438228 82.09294176080277 -42.90215861404576 -365.963780679281 4940.484101087499 -556.4582052591923 1167.0934301005063 -304.4022247999033 1132.0227321617722 2610.400028512501 1478.377296350729 2568.566110539197 3207.117257559192 638.5511470199949 530.1623063140457 679.8332824005063 149.67097608646054 94.71422247928096 33.15266659990329 -61.56155587937767
-0.8 -0.6 -0.30000000000000004 0.66554 0.88354 152.01206 5673.2066599 1333.3058275 -752.3565849 -392.04159350000003 5075.184132713601 -744.4487445001243 -1414.921814806096 -388.37004617705753 4115.798655433179 -938.2850671089773 66.03792597936788 -326.6027618785542 598.0225271863989 1557.4080044668203 959.3854772804215 2077.7545720001244 2271.590894608977 193.8363226088527 662.565229906096 818.3945108793679 155.82928097327192 3.671547322942448 65.43883162144581 61.76728429850337
-0.8 -0.6 -0.19999999999999996 0.70124 0.84666 151.53417 4389.997602400001 450.3285352 -1607.0700140000001 -437.31291880000003 4082.1069362857543 -1407.6018887027772 -2533.284369853482 -406.5272968235247 3491.617943786769 -1253.0365242028943 -819.1537119269551 -345.1252819684161 307.89066611424596 898.3796586132313 590.4889924989853 1857.9304239027772 1703.365059402894 -154.56536449988312 926.2143558534821 787.916302073045 -138.29805378043704 30.78562197647533 92.18763683158387 61.40201485510855
-0.8 -0.6 -0.09999999999999998 0.73725 0.80996 151.25174 3642.9313812 -56.5985966 -2107.573414 -450.447309 3473.369481998115 -1839.173095407989 -3259.451749494853 -418.37084097084585 3102.9095460870153 -1460.7020792505587 -1389.609408343262 -357.4449554278242 169.5618992018848 540.0218351129844 370.4599359110996 1782.5744988079891 1404.1034826505588 -378.4710161574303 1151.8783354948532 717.964005656738 -433.91432983811524 32.07646802915415 93.00235357217585 60.9258855430217
-0.8 -0.6 0.0 0.77353 0.77346 151.15821 3397.8287348 -221.65474569999998 -2272.2093446 -452.4873174 3268.4623883429194 -1989.0509804712622 -3510.3622853124293 -422.47420309112846 2971.020370661445 -1533.2407878860342 -1586.080950591515 -361.75800523650736 129.36634645708045 426.80836413855474 297.4420176814743 1767.3962347712622 1311.5860421860343 -455.8101925852279 1238.1529407124297 686.1283940084847 -552.0245467039449 30.013114308871547 90.72931216349261 60.71619785462106
-0.8 -0.6 0.09999999999999998 0.81004 0.73719 151.25141 3643.4232678 -56.1064452 -2107.0751726000003 -450.48473290000004 3473.7582614784715 -1838.7277071668336 -3258.4821267683806 -418.3284944319076 3103.1106896167266 -1460.5557787280454 -1388.9041574276891 -357.4098217566097 169.66500632152838 540.3125781832733 370.64757186174495 1782.6212619668336 1404.4493335280454 -378.1719284387882 1151.4069541683805 718.1710151723108 -433.23593899606965 32.156238468092454 93.07491114339034 60.918672675297884
